,index,date,caption,comments,likes
0,0,2022-03-29 21:04:29,"New and Rare!
Dendritic Opal (Shaman Stone or Merlinite) Bracelet’s

Dendritic Opal is an extremely balancing stone dealing majorly with spiritual growth.

It will help you tap into the frequencies of the New Earth and 5D energies.

Known as a Shaman Stone, it allows the carrier to explore the deeper universal energies to carry that back into the normalcy of life.

This crystal will ask you what you want in life. It will form a path to get you to your highest possible path. 

Dendrite is a term used to describe the plant like tree inclusions found in some Opals.

Much like a tree's growth, with it's branches reaching toward the sky, the same will happen with your spirituality and ascension when harnessing the power of Dendritic Opal.

This beautiful milky white to beige, and even sometimes pastel purples, has dark black moss like growths due to the presence of manganese oxides or silicates.

Dendritic Opal can aid in past life integration making it one of the most popular crystal among souls on intense spiritual journeys.

It balances yin and yang energies, integrating the divine feminine and divine masculine.

Some call this crystal ""Moss Opal"" or ""Merlinite"" as well.

Buy here-

https://shimmer-gems.com/products/dendritic-opal-10mm-healing-bracelet-shaman-stone-or-merlinite",0,1
1,1,2022-03-28 15:29:30,"New!
Rose Quartz & Lapis Lazuli Chain Healing Bracelet (alignment & balance) Designed & Made By Audrey

A modern way of wearing your crystals with this Chain-Style Faceted Inter-locking 8mm bracelet.

Balancing your heart (rose quartz) and your mind (lapis lazuli) bringing alignment to your chakra and your aura.

Made with 2 x 6mm gold-filled beads.

Elegant, Modern and Energetic!

Buy here-
https://shimmer-gems.com/products/rose-quartz-lapis-lazuli-chain-healing-bracelet-alignment-balance

#rosequartz #rosequartzcrystal #rosequartzjewelry #lapislazuli #lapislazulijewelry #lapislazulibracelet #singaporecrystals #singaporecrystalseller #singaporecrystalshop #singaporecrystalsshops #singaporecrystalsg #singaporecrystalssellers #singaporecrystalshops #singaporecrystalsale #singaporecrystalsshopsg #singaporecrystalshopping",0,6
2,2,2022-03-28 06:25:41,Shimmer & Gems is our new Crystal Jewelry Brand! 🔮😊,0,3
3,3,2022-03-28 00:04:58,"New!
Dolphins Hand-carved Crystals

Elegantly-crafted Dolphin Carvings are created using rough material from Indonesia mines.

Dolphins are happy and peaceful creatures and emits positive energy. Having them in your space as crystals brings good fortune, harmony and prosperity.

Buy here-

https://www.loveforcrystals.com/products/dolphins-hand-carved-crystals-per-pair",0,3
4,4,2022-03-27 23:21:12,"New!
Rose Quartz Lotus

The pink lotus flower is the supreme lotus and is considered to be the true lotus of Goddess Quan Yin. 

These gorgeous blooming lotus flowers are solid pieces carved from rose quartz – the mother of all love stones.",0,6
5,5,2022-03-27 23:18:17,"New!
Taiwan Jade Double Pointer Pendant 925 Silver 35mm

Jade is a symbol of wealth, health and protection in Chinese culture.

The Chinese have treasure this gemstone for centuries because it is believed to bring the wearer wealth and good fortune.

Buy here-

https://shimmer-gems.com/products/taiwan-jade-double-pointer-pendant-925-silver-23-5-carats

#jade #่jadependant #jadependantstone #singaporecrystals #singaporecrystalseller #singaporecrystalshop #singaporecrystalsshops #singaporecrystalsg #singaporecrystalssellers #singaporecrystalshops #singaporecrystalsale #singaporecrystalsshopsg #singaporecrystalshopping",0,2
6,6,2022-03-27 09:03:24,"Thank you for the Live Sale!

These marked down prices will be available until midnight tonight.

If keen, you may send us a message via whatsapp 8498-7653 or fb messenger",0,2
7,7,2022-03-26 20:33:40,It makes us happy to receive many new gemstone beads… it means many new bracelets to be made!😊🔮🍀🌟,0,3
8,8,2022-03-26 20:17:46,"New!
Green Phantom Pointer Pendant

It is known as helpful in increasing luck.

it is the rarest of all phantom quartz crystals, and perhaps the most powerful.

Green Phantom quartz is an incredibly powerful crystal for healing and reconnecting with Nature, as it carries a strong connection with Mother Earth.

 Buy here-

https://shimmer-gems.com/products/green-phantom-pointer-pendant-aa-grade-11-5-carats

#singaporecrystals #singaporecrystalseller #singaporecrystalshop #singaporecrystalsshops #singaporecrystalsg #singaporecrystalssellers #singaporecrystalshops #singaporecrystalsale #singaporecrystalsshopsg",0,4
9,9,2022-03-26 20:14:08,"New!
Ethiopian Opal Earrings and Pendants

https://shimmer-gems.com/collections/ethiopian-opal

#opal #opaljewelry #ethiopianopal #ethiopianopals #ethiopianopaljewelry #singaporecrystals #singaporecrystalseller #singaporecrystalshop #singaporecrystalsshops #singaporecrystalsg #singaporecrystalssellers #singaporecrystalshops #singaporecrystalsale #singaporecrystalsshopsg #singaporecrystalshopping",0,1
