,index,date,caption,comments,likes
0,0,2022-03-26 14:59:59,"Druzy Agate Flames & Towers
Weekly Sunday Live Show, 8pm SGT",2,302
1,1,2022-03-25 09:45:35,"Black Tourmaline & Pink Petrified Wood
Live Sale: 27th March, Sunday, 8pm SGT

🖤 Black Tourmaline is considered by many to be the most powerful protective stone and it is one of the only stones that protects and heals on all levels - physical, emotional, mental and spiritual. It aids those in a complicated work environment and protects against becoming the target of gossip & jealousy. It can also shield you from harmful electromagnetic radiation and help with depression.

💖 Petrified Wood is known to be particularly helpful in assisting age related health problems. It is a grounding stone that will fill you with feelings of security and stability. Petrified Wood is also a stone of business success, which brings good fortune and good luck. Pink Petrified Wood is a rare variation of this stone.",73,180
2,2,2022-03-24 09:27:12,"Rainbow Amethyst Clovers 🍀
Live Sale: 27th March, Sunday, 8pm SGT

Four-leaf clovers, aside from being closely associated with bringing good fortune and luck, are said to be symbols of faith, love & hope. 

Amethyst is known as an all rounder crystal. It relieves stress, soothes irritability, balances mood swings and dispels anger, fear & anxiety. In fengshui, Amethyst can be used to calm the emotions in a household where there are excessive arguments and misunderstandings. Placing an Amethyst in the South East sector of your home will attract wealth and abundance.",15,163
3,3,2022-03-22 11:19:05,"Uruguayan Amethyst Hearts 💜
Weekly Sunday Live Show, 8pm SGT

Amethyst is known as an all rounder crystal. It relieves stress, soothes irritability, balances mood swings and dispels anger, fear & anxiety. In fengshui, Amethyst can be used to calm the emotions in a household where there are excessive arguments and misunderstandings. It can also help with study and learning. 

Placing an Amethyst in the South East sector of your home will attract wealth and abundance. You can also place a carved Amethyst heart shape in the South West sector of your home or bedroom to boost love and relationship luck.",4,258
4,4,2022-03-18 10:11:24,"Brazilian Clear Quartz Towers
Weekly Sunday Live Show, 8pm SGT

Clear Quartz amplifies energy by absorbing, storing, releasing and regulating it. It is also said to aid concentration and memory. In fengshui, it is used for its ability to hold and transmute light, as well as to cleanse and purify energy. Placing Clear Quartz in the living room can also help to create more harmony in the family.",0,146
5,5,2022-03-16 10:29:36,"Amethyst Flower Agate Towers 💜🌸
Weekly Sunday Live Show, 8pm SGT

These pinkish purple druzy towers are extremely pricey but beautiful, we couldn’t resist bringing them in! They are known as Amethyst in Flower Agate, which is a natural mix of the two crystals 😍

Amethyst is known as an all rounder crystal. It relieves stress, soothes irritability, balances mood swings and dispels anger, fear & anxiety. In fengshui, Amethyst can be used to calm the emotions in a household where there are excessive arguments and misunderstandings. It can also help with study and learning. Placing an Amethyst in the South East sector of your home will attract wealth and abundance.

Flower Agate has many amazing metaphysical properties that encourage self-growth. It can aid as a protector from your own fears & self-doubt to allow you to grow. Flower Agate also helps to manifest and nurture your dreams. It is the perfect stone for entrepreneurs hoping to grow and flourish their business, or for those starting a new endeavour in their lives.",4,204
6,6,2022-03-10 13:20:19,"Pink Optical Calcite
Weekly Sunday Live Show, 8pm SGT

Pink Optical Calcite opens the heart chakra and supports feelings of joy, appreciation & peace. It is a wonderful crystal for compassion, self-acceptance, and forgiveness. It also helps one move beyond past mistakes and fear based decisions with unconditional love.",1,108
7,7,2022-03-04 10:01:19,"HQ Mexican Fluorite Puffy Hearts 💙💚
Live Sale: 6th March, Sunday, 8pm SGT

Fluorite heightens mental abilities and focus, which can bring mental clarity and stability to a chaotic situation or mind, as well as self confidence. It also aids emotional and physical recovery. By cleansing away unfounded worries, Fluorite makes space for positivity to flow in.",5,336
8,8,2022-03-03 07:51:58,"High quality watery clear Mozambique Star Rose Quartz spheres will be on the live table this Sunday! 🍉

Weekly Sunday Live Show, 8pm SGT

Rose Quartz restores trust and harmony, encourages unconditional love and improves & strengthens all types of relationships. Rose Quartz purifies and opens the heart at all levels to promote love, self-love, friendship, deep inner healing and feelings of peace. It is often used to increase love luck and improve relationships.

#mozambiquerosequartz #starrosequartz",3,362
9,9,2022-02-25 09:16:50,"Clear Quartz Faceted Hearts
Live Sale: 27th February, Sunday, 8pm SGT

Clear Quartz amplifies energy by absorbing, storing, releasing and regulating it. It is also said to aid concentration and memory. In fengshui, it is used for its ability to hold and transmute light, as well as to cleanse and purify energy. Placing Clear Quartz in the living room can also help to create more harmony in the family.",0,173
