,index,date,caption,comments,likes
0,0,2022-03-27 00:49:48,"High Quality Natural Citrine

Weekly Live Sale Wednesday & Saturday @ 8pm!

Citrine has a high vibrational energy that aligns with the one of wealth and abundance. It is also one of the most powerful crystals you can use for manifestation. If you want to attract more money, using a Citrine can be an easy way to align your energy with financial success.",4,50
1,1,2022-03-27 00:42:55,"High Quality Natural Citrine

Weekly Live Sale Wednesday & Saturday @ 8pm!

Citrine has a high vibrational energy that aligns with the one of wealth and abundance. It is also one of the most powerful crystals you can use for manifestation. If you want to attract more money, using a Citrine can be an easy way to align your energy with financial success.",2,114
2,2,2022-03-25 10:42:25,"Pink Amethyst Heart ❤️ 
(Available on 26th March Sat Live @ 8pm!)",0,-1
3,3,2022-03-25 10:27:14,"3 in 1 Galena,Pyrite, Clear Quartz
(Available on 26th March Sat Live @ 8pm)
•
Galena may inspire you in harnessing your personal power, in order to complete your tasks and attain your goals. This will keep you being motivated to thrive, even if things are hard and your success isn’t seem so close.
•
Pyrite has a connection to the solar plexus chakra and is used to increase strength, energy, willpower, and confidence. It's also a wonderful abundance stone, encouraging wealth, prosperity, and success. In addition, pyrite can help to release negative energy and fears, including fears that may be blocking success.
•
Clear Quartz is known as the ""master healer"" and will amplify energy and thought, as well as the effect of other crystals.  It absorbs, stores, releases and regulates energy.  Clear Quartz draws off negative energy of all kinds, neutralising background radiation, including electromagnetic smog or petrochemical emanations.  It balances and revitalises the physical, mental, emotional and spiritual planes.",0,57
4,4,2022-03-21 10:32:19,"ESP Geode / Mini Purple Amethyst / Mini Black Amethyst 
(Every Wed & Sat Live @ 8pm SGT)",4,86
5,5,2022-03-01 10:02:02,"Customised Crystal Pen ❤️

#gift #giftideas #crystalsg",0,19
6,6,2022-02-23 07:59:51,"Sparkly Sparkle 💕

#amethystcrystal #amethystgeode",5,173
7,7,2022-02-18 14:47:28,"High Quality Amethyst Egg
(Every Wednesday and Saturday Live @ 8pm SGT)
•
Amethyst is a natural tranquiliser, it relieves stress and strain, soothes irritability, balances mood swings, dispels anger, rage, fear and anxiety. Alleviates sadness and grief, and dissolves negativity. Amethyst activates spiritual awareness, opens intuition and enhances psychic abilities.

#pinkamethyst #amethyst #sglocalbusiness #crystalsg",1,59
8,8,2022-02-18 11:30:00,Customised Rose Gold Crystal Stone Pen 🖊,0,23
9,9,2022-02-13 07:06:13,"Rose Gold Natural Crystal Stone Pen

CHOICE OF PEN
All pens are in blue ink and rose gold hardware.
 Black Obsidian Pen (Black Base)
 Rose Quartz Pen (White Base)
 Rose Quartz Pen (Black Base)
 Aquamarine (White Base)
 Amazonite (White Base)

TEXT ON PEN
Maximum 10 Characters
Only “TBI Font” for Pen. 
No selection of font.

TEXT COLOUR FOR PEN
 Black
 White
 Rose Gold Chrome
 Gold Chrome
 Silver Chrome
 Holographic Rainbow
 Peacock Blue",13,-1
10,10,2022-02-12 20:50:49,"Crystal Bonsai Tree 💰 
(Available on 12th Feb Live @ 8pm SGT)
•
Amethyst/H.Citrine/Rose Quartz
Size: 15cm & 30cm",0,-1
11,11,2022-02-10 10:39:23,"Pyrite LongGui (龙龟）
(Available on 12th Feb Live @ 8pm)",0,-1
12,12,2022-01-18 17:30:30,"🇯🇵Daruma “旺” (Custom Cut)
Available on 19th Jan Wednesday Live @ 8pm SGT
•
High Quailty Clear Quartz
Green Aventurine
Tiger Eye
Gold Sheen Obsidian
Matt Black Obsidian",26,132
13,13,2022-01-14 04:33:40,"Daruma x Kitty 
(Custom Cut)
Available on 15th Jan Saturday Live @ 8pm SGT
♡
Rose Quartz
Clear Quartz
Fluorite 
Green Aventurine 
Gold Sheen Obsidian",13,-1
14,14,2022-01-13 11:40:19,"Mini Amethyst Mickey 🐁 & Clover 🍀 
(Available on 15th Jan Saturday Live @ 8pm SGT)",2,-1
15,15,2022-01-11 10:23:34,"Daruma x K
(Custom Cut)
Available on 12th Jan Wed Live @ 8pm SGT
♡
Clear Quartz
Gold Sheen Obsidian
Fluorite
Rose Quartz 
Green aventurine",0,-1
16,16,2022-01-07 04:25:58,"Uruguay Petite Size Amethyst Geode 
♡ Every Wednesday & Saturday Live @ 8pm SGT",0,-1
17,17,2022-01-07 00:22:43,"Daruma x Melody
(Custom Cut)
Available on 8th Jan Saturday Live @ 8pm SGT
☆ Fluorite
☆ Rose Quartz
☆ Clear Quartz
☆ Green Aventurine 
☆ Gold Sheen Obsidian",6,132
18,18,2022-01-05 06:44:15,"Big Head Chubby Tortoise 🐢 
(Available on 5th Jan WED Live @ 8pm SGT)
 🐢 
Citrine
Green Aventurine 
Clear Quartz
Rose Quartz 
Amethyst 
Smoky Quartz 
Tanzberry Quartz",5,-1
19,19,2022-01-04 15:53:41,"Custom Cut Daruma ""旺"" 🇯🇵
Comes in 5cm & 8cm
(Available on 5th Jan Wed Live @ 8pm SGT)
●
Black obsidian healing properties that are most prominent are its ability to cleanse and ground. It is rooted in the base chakras and has a strong connection to the earth. This makes it the perfect grounding force and is often used to achieve feng shui in homes. It is said to draw the negativity out and into the earth where it is neutralized. Its strong connection to earth and to nature make it the ideal stone for tapping into other spiritual realms and unlocking their potential.

#daruma #sg #crystalsg #blackobsidian #blackobsession",51,606
20,20,2021-12-21 12:30:07,"🎄TPZ XMAS GIVEAWAY DAY 11🎄

Win this fortune baby tiger and dice crystal set from @ohmou.sg & huatttttt all the way 😂💰

3 lucky winners will be 
walking away with a set of Fortune baby tiger + dice set from @ohmou.sg 
 
To win, 
1. Follow both @ohmou.sg & @topazette 
2. Like and save this post & tag 2 friends! (Multiple entries allowed. 1 comment with 2 tagged friends qualify as 1 entry)
3. Share this post on ig story for more chances to win!

Winner must be following topazette on telegram (link in bio)

Winner will be announced on 28 Dec, Tuesday during live and must be present to claim your prize 🎄✨",170,242
21,21,2021-12-17 10:19:25,"Nine Tailed Fox 🦊
(Available on 18th Dec Live @ 8pm)
♡
NINE TAIL FOX
It is widely believed to be a strong amulet to attract love and marriage luck, besides being an amulet to protect from third party interference. It is also said to enhance one's attractiveness",10,143
22,22,2021-12-13 10:31:29,"Baby Dino Version 2 🦖
( Ohmou Custom Cut )
♡
Green Aventurine 
Gold Sheen Obsidian 
Clear Quartz
Rose Quartz 
White Jade
Fluorite

#crystalhealing #crystalsg #crystalshop #crystalsofig #crystalsforsale #healingcrystals #greenaventurine #goldsheenobsidian #clearquartz #rosequartz #whitejade #fluorite #pink #rainbow #crystalssingapore",7,193
23,23,2021-12-01 04:13:22,"@mydreamvibe.co X @ohmou.sg INSTAGRAM GIVEAWAY 〰️ head over to @mydreamvibe.co for this giveaway. 
Counting down to Christmas and also YEAR 2022!! Here we would like to giveway a Fortune Baby Tiger Crystal from @ohmou.sg to 1 lucky winner!🎄🤍

To participate, 
1. Follow both @ohmou.sg and @mydreamvibe.co
2. Like this photo (Share on IG story for extra chance to win) 
3. Tag 2 friends you think will love this! 

1 winner will be chosen by @ohmou.sg at random on IG Story on the 8th of December . Good luck to all! Open to Singapore residents only. Thank you! :)",0,184
24,24,2021-11-30 05:23:43,"Nine tail fox, Pixiu & Long gui
(Available on Wed 1st Dec Live @ 8pm!)
♤
NINE TAIL FOX
It is widely believed to be a strong amulet to attract love and marriage luck, besides being an amulet to protect from third party interference. It is also said to enhance one's attractiveness
♤
PIXIU
The Pixiu is a lucky symbol for wealth, good fortune, and protection. If you're attracted to Chinese decorative items, the Pixiu would not only be a unique addition to your home decor, but also can be used as a powerful feng shui adjustment object.
♤
LONG GUI
It is said to help to increase your career luck when you place this Dragon turtle on your office work desk as you will be able to attain your superior support and assistance in career progression.
Beside this, it is also believed to prevent all type of negative effect such as backstabbing and betrayal.",8,122
25,25,2021-11-29 11:21:58,"Crystal Tumbles Bag
$8 Tumble Bag 
(Available on Wednesday 1st Dec Live @ 8pm!)",0,-1
26,26,2021-11-26 10:59:47,"Pink Banded Calcite & Blue Caribbean  Calcite 🦋
(Available on Sat 27th Nov Live @ 8pm!)",3,110
27,27,2021-11-26 08:59:32,"Golden Eggy 🥚🥚
How many eggs are there? 🤣
(Available on Sat 27th Nov Live @ 8pm SGT!)",6,80
28,28,2021-11-23 09:27:39,"🎲 Mahjong Wind Direction Dice 
(Available on 24th Nov Wed Live @ 8pm SGT)",10,94
29,29,2021-11-19 11:07:07,"Clear Quartz 
(Available on 20th Nov Sat Live @ 8pm) 
•
Clear quartz is a popular crystal, often used to strengthen the effect of other crystals, purify energy, and aid in manifestation. It is a transparent and colorless type of quartz that is a must for any crystal collector.",0,63
30,30,2021-11-19 06:57:40,Pink Amethyst 💕,2,295
31,31,2021-11-18 13:39:37,"💗 Pink Amethyst Dream 💗
(Live Show Every Wednesday & Saturday @ 8pm SGT)
Let us know which is your favourite Piece! 🥰",1,142
32,32,2021-11-18 10:22:40,"⛵🌙Luna & Artemis 😼
(Available on 20th Nov Live @ 8pm SGT)",1,128
