,index,date,caption,comments,likes
0,0,2021-05-28 03:05:37,"At this hour, im yearning for a piece of chocolate cake with blue fondant icing top with white sugar.. Yummy!!

#druzy #chrysocolla #rawcrystals",0,17
1,1,2020-06-30 22:05:23,"Another smaller piece of aquamarine, clean and clear.

2.6cm(L)x2.3cm(W)x1.8cm(H)

16g",3,44
2,2,2020-06-30 00:26:32,"My first piece of aquamarine im showing. Love the shape, i believe it will be in good hands soon. Someone who love and will grow with it.

4cm(L) x 2.7(W) x 2.7(H)

54g",1,38
3,3,2020-06-16 08:55:09,Pink Calcite with Purple Fluorite growing on it.,3,41
4,4,2020-06-01 09:03:41,Clusters of Pink Lithium Quartz,1,30
5,5,2020-05-30 09:45:14,"Can you see my fingers? Nothing magic here, crazy selenite sphere.. 😘",3,56
6,6,2020-05-27 00:54:05,Yellow Fluorite with spray of Chalcopyrite and abit of calcite growing on it.,1,22
7,7,2020-05-25 11:33:11,"Super 7 point some called it melody stone under direct light. Red tip nice smoky and amethyst inside, u can also see the goethite below.",1,88
8,8,2020-05-24 02:23:34,"11g Amethyst with Hematite Scepter

3.7cm(L)x2.1cm(W)x1.6cm(H)

Inside of this amethyst scepter look so mystical. Like those magical ball that those witches  uses in movies. I was so mesmerised when i first saw this piece.",1,69
9,9,2020-05-23 09:26:47,Raw piece of petrified wood,1,50
10,10,2020-05-20 22:11:47,"191g Stibnite

8.2cm(L) x 6.2(W) x 4cm(H)

Stibnite mainly found in china. It have remarkable energies that induce transformation and help someone ease into a new life. Its good for people that have a busy lifestyle with barely any time for themself. Such transformative energies will demand a great deal of your focus and attention.",5,37
11,11,2020-05-19 09:28:55,Vera Cruz Amethyst,1,51
12,12,2020-05-17 14:05:35,Chevron Amethyst Crystal Point,1,45
13,13,2020-05-16 09:42:11,Dioptase with chrysocolla malachite tumble.,4,61
14,14,2020-05-15 09:24:28,"Elestial Smoky Quartz, simply love the colour, points and how elestial crystals are formed.",1,32
15,15,2020-05-14 01:05:57,"Bi-colour Pink Cobaltoan Calcite with red hematite formed below it. It a rare piece, lovely piece.",4,59
16,16,2020-05-12 00:37:13,89g Druzy amethyst with calcite,1,45
17,17,2020-05-11 01:09:52,"Purple Green Fluorite Slab

17.5cm(L) x 6cm(W) x 1.3cm(H)",0,50
18,18,2020-05-06 19:33:12,Red Amethyst Raw Cluster from Brazil. Amethyst points cluster coated with red hematite on the top.,0,59
19,19,2020-05-04 08:42:22,"Pink Lithium Quartz Cluster

Effective to help stress and tension, also depression and anxiety.",1,37
20,20,2020-05-03 02:07:27,"52g Druzy Malachite Chrysocolla 
7.5cm(L) x 4.2cm(W) x 3.8cm(H)",1,45
21,21,2020-05-02 00:22:08,"819g Purple cubic fluorite with special purple marking.

14cm(L) x 10cm(W) x 4.9cm(H)",3,41
22,22,2020-04-28 02:12:16,"304g Selenite skull

8.1cm(L)x4.8cm(W)x5.9cm(H)

Selenite give u clarity to your mind and expand your awareness of surroundings. Selenite is a calming stone that instil deep peace. It clears confusion and helps in seeing the deeper pictures.",1,47
23,23,2020-04-20 22:18:08,Vanadinite from Morroco,1,43
24,24,2020-04-20 03:02:33,"364g Translucent Pink Cubic Fluorite

12.5cm(L) x 7cm(W) x 4.9cm(H)

Rare piece of pink fluorite on some chalcedony looking crystals. Very rare indeed..",1,30
25,25,2020-04-17 01:40:03,"Chevron amethyst crystal point. Chevron amethyst is a combination of amethyst and quartz, some will crate a banded patterns or v striped. They have a combination properties of a quartz and amethyst. It remove the veil that obscure some of the hidden meaning in life. Helps in removing resistance to change.",1,72
26,26,2020-04-16 02:29:54,Large piece of chrysocolla malachite with dark blue and green.,3,68
27,27,2020-04-15 02:58:47,"Tourmalinated Quartz, almost translucent piece. I can clearly see the black tourmaline pass through the quartz.",1,29
28,28,2020-04-14 02:21:17,"Polish piece of meteorite from a town in Muonionalusta, Sweden. 
2.5cm(L)x1.2cm(W)x0.6cm(H)",1,29
29,29,2020-04-13 00:07:34,"(RESERVE)115g Malachite carve into a bear form. 
5.5cm(L)x2.7cm(W)x4.3cm(H)",3,45
30,30,2020-04-12 01:39:50,"Amethyst skull

Very deep purple, nicely carved to perfection.",2,46
31,31,2020-04-10 01:31:04,"1740g Amethyst free form with Calcite balls.

12.5cm(H)x10.7cm(L)x9.7cm(W)

Lovely purple points with some orange botryoidal calcite and a cut through amethyst stalactite that show a nice looking flower. 💵Available, DM if interested.",2,43
32,32,2020-04-09 09:21:53,"Polychrome Jasper with unique banding
*
This is a stone which connected to the fire element. It embodies passion, vitality, action and creativity. This jasper has a very strong grounding, stabilising and centering energy that will strengthen your connection to mother earth",1,58
33,33,2020-04-06 01:50:21,"Azurite with mild malachite at the side, so blue and crystalised.",1,41
34,34,2020-04-03 19:53:45,"Raw apophyllite, crystal clear and translucent..",5,41
35,35,2020-04-03 00:50:47,"Funny looking piece of amethyst smoky scepter that look like a drumstick 🍗 to me. Marinate with some raspberry jam. Wonder how it taste like. 😳

7.1cm(L)x2.3cm(W)x1.9cm(H)",3,29
36,36,2020-04-01 01:50:59,Bone like Stilbite and Apophyllite on Chalcedony. Cutoo..,1,32
37,37,2020-03-27 22:46:27,"439g Translucent Deep Purple Cubic Fluorite with Green Zoning

10.3cm(L)x6.8cm(W)x5.2cm(H)

Nice green zoning on some outer cube, clear grape colour make me think of my Kiyo grape drink. What i like about this piece is the cubic shape almost perfect, only the side is injured i guess is because when they were cutting this piece out. On one of the cube there is some quartz growing on it, bottom of the matrix there is some visible sign of pyrite.",1,22
38,38,2020-03-26 01:31:17,"Azurite palmstones, It protect us from fear and indecision. Give us strength to come to the right conclusions about these situations. Keep you away from stress. Improves your intellectual curiosity and desire to learn. A great spiritual stone.",5,42
39,39,2020-03-23 00:38:07,"Chrysocolla comes in blue, blue green to green. Chrysocolla calms, cleanse and also re-energise all our chakras. It removes guilt in us, heals our heartaches and increase our capacity to love one another. Chrysocolla improves personal powers and inspires creativity.",1,31
40,40,2020-03-17 16:38:33,"Polished Malachite

Malachite is a protection stone. Malachite encourage risk taking and change, also breaks unwanted ties and torn patterns and teaches how to take responsibility for one’s actions, thoughts and feelings. Malachite absorb negative energies and pollutants, from atmosphere and from the body.",1,27
41,41,2020-03-14 17:51:14,"*click on the pic to view more*

Grape agate from indonesia.

Cute and sweet!! A little sparkling and reflective when shine upon.",1,51
42,42,2020-03-12 12:41:27,"*Tap on the pic to see more pics*

Green Apophyllite, apophyllite can dispel negative energies in a room. It will surround the place with strong and uplifting energies and high vibrations of love, happiness and peace. Apophyllite will inspire you to live your life to the fullest. Will also give u confident, help build structure and organisation in your life. Energy of apophyllite will encourage you to look into the deepest recesses of your mind and discover your true nature.",1,35
43,43,2020-03-10 01:18:54,"Selenite Charging Plate

Selenite can be used to cleanse the energy of other crystals. Its energy can align the chakras and raise awareness to a higher plane. It works on your crown and the third eyes chakra. Through the radiating light energy it promotes purity and honesty.

12.2cm(L) x 10.7cm(W) x 1.7cm(H)

Available at $42 
DM if interested",3,35
44,44,2020-03-07 00:14:28,"Amethyst Quartz, bright purple colour from, chikubu mine, shangaan, Zimbabwe.",6,33
45,45,2020-03-03 02:14:52,"We sell all kind of rare and unique crystals from raw specimens, polished forms and many many more. Do drop by and take a look what we have in our online store.",0,235
46,46,2020-03-01 03:09:20,"All the way from south africa 🇿🇦, this is where this lovely piece of amethyst spirit quartz was mined. Nice point with mini point growing from the bottom.",1,43
47,47,2020-02-25 00:30:26,"Vanadinite from morroco, sparkles like some red sugar coated on a piece of cake. Come and see how it glows.",1,74
48,48,2020-02-19 01:05:43,"84g Smoky Amethyst with Red Hematite with 2 small enhydro (moving bubbles)

7.5cm(L) x 3.3cm(W) x 3.2cm(H)

Available at SGD128 (USD 96)
DM if interested",1,22
49,49,2020-02-18 00:00:40,"21g Chrysocolla with Shattuckite, Cuprite and Calcite.(SOLD)

4.2cm(L) x 2.5cm(W) x 1.4cm(H)

Available at SGD15 (USD 12)(SOLD)
DM if interested",1,45
50,50,2020-02-13 01:55:24,"151g Natural Translucent Dark Blue/Green Cubic Fluorite Cluster

6.7cm(L) x 6.8cm(W) x 2.5cm(H)

Available at SGD 38 (USD 29)
DM if interested 👆🏻",4,30
51,51,2020-02-11 02:11:45,"Lovely raw piece of agate with green moss growing in it, and u can see some druzy crystals near the rough area.",1,29
52,52,2020-02-09 01:54:48,"A piece of malachite raw specimen come with two faces, the velvety side and the fibrous side. How sweet and lovely it can be, flawless..",1,39
53,53,2020-02-08 03:11:00,"Raw piece of vanadinite from Morocco. Dark brown red colour, and some are in druzy orange colour. A good crystal for manifestation, support you in your efforts and turn your dreams to reality. Will also surround you with love, encouraging energy and keep you motivated in your journey of success, abundance and happiness.",1,37
54,54,2020-02-06 01:52:44,"Brown Garnet

Highly spiritual stone that aid in self-empowerment. Stone of safety, security, stability and strength. It offer you protection and security from the ups and downs of life",1,23
55,55,2020-02-05 01:19:23,"41g Chrysocolla Malachite with Heterogenite (SOLD)

3.7cm(L) x 3.5cm(W) x 2.7(H)

Available at SGD 18 (USD 14)(SOLD)
DM if interested",1,37
56,56,2020-02-02 01:37:52,"Pink Opal Point

Great stone for healing emotions, especially pain. It balance ur emotion and heals your heart. It helps children who have problem falling asleep or prone to nightmares.",7,34
57,57,2020-02-01 01:17:18,"Prophecy Stone, they are a calming stone which calms our mind. It also helps in legal issue.",1,27
58,58,2020-01-31 03:22:26,"This is dravite, know as brown tourmaline. Its a very strong grounding stone. It will also raise your stamina, life force and also your protective energy. It calms and soothe your mind so you can think and act well.",1,20
59,59,2020-01-30 02:13:43,"240g Cubic Green Fluorite Cluster

13.4cm(L)x5.5cm(W)x3.3cm(W)

Available at SGD 38 (USD 29)
DM if interested",1,22
60,60,2020-01-29 01:48:19,"Smoky Quartz with Golden Rutile 395g

12.3cm(L)x6.4cm(W)x5.4cm(H)

SGD 98 (USD 73)
DM if interested 👆🏻",1,22
61,61,2020-01-28 02:36:57,"Lepidolite works as an anti-anxiety medication due to the high amount content of lithium in it. Its the world best crystals for stabilising your mood, for stress, chaos or fiery emotions.",1,22
